Neighborhood,Longitude,Latitude,Weapon,1,2,3,4,5,6,7,8,9,10,11
"1 Sinykin Cir, Madison, WI, 53714",-89.302175,43.104217,Handgun,0,0,0,0,1,1,1,1,1,1,
"Madison, WI",-89.386691,43.072951,Handgun,0,0,0,0,1,1,1,1,1,1,
"7800 Mineral Point Rd, Madison, WI, 53717",-89.517517,43.060657,Handgun,0,0,0,0,1,1,1,1,1,1,
"5500 Odana Rd, Madison, WI, 53719",-89.473739,43.050061,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"2900 N Sherman Ave, Madison, WI, 53704",-89.363619,43.128337,Handgun,0,0,0,0,1,1,1,1,1,1,
"1100 Moorland Rd, Madison, WI, 53713",-89.366692,43.033681,Handgun,0,0,0,0,1,1,1,1,1,1,
"1100 Moorland Rd, Madison, WI, 53713",-89.366692,43.033681,Handgun,0,0,0,0,1,1,1,1,1,1,
"7100 Tree Ln, Madison, WI, 53717",-89.504597,43.06545,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"1 Sinykin Cir, Madison, WI, 53714",-89.302175,43.104217,Handgun,0,0,0,0,1,1,1,1,1,1,
"3300 E Washington Ave, Madison, WI, 53704",-89.334257,43.110578,Handgun,0,0,0,0,1,1,1,1,1,1,
"3200 Progress Rd, Madison, WI, 53716",-89.304286,43.052692,Shotgun,0,0,0,0,1,1,1,1,1,1,
"1100 Fleetwood Ave, Madison, WI, 53716",-89.301841,43.082055,Handgun,0,0,0,0,0,1,1,1,1,1,
"100 Georgiana Cir, Madison, WI, 53716",-89.285301,43.082424,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,1,1,1,1,1,
"1400 Northport Dr, Madison, WI, 53704",-89.372838,43.134817,Handgun,0,0,0,0,0,1,1,1,1,1,
"1400 Theresa Ter, Madison, WI, 53711",-89.489905,43.038073,Handgun,0,0,0,0,0,1,1,1,1,1,
"7700 Mineral Point Rd, Madison, WI, 53717",-89.516331,43.060637,Handgun,0,0,0,0,0,1,1,1,1,1,
"6700 Raymond Rd, Madison, WI, 53719",-89.496956,43.031918,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,1,1,1,1,1,
"5400 Esther Beach Rd, Madison, WI, 53713",-89.358408,43.046691,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,1,1,1,1,1,
"4800 Hayes Rd, Madison, WI, 53704",-89.300151,43.138306,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,1,1,1,1,1,
"4900 Verona Rd, Madison, WI, 53711",-89.461116,43.030936,Handgun,0,0,0,0,0,1,1,1,1,1,
"4700 Lien Rd, Madison, WI, 53704",-89.301459,43.12113,Handgun,0,0,0,0,0,1,1,1,1,1,
"4700 Lien Rd, Madison, WI, 53704",-89.301459,43.12113,Handgun,0,0,0,0,0,1,1,1,1,1,
"1400 Theresa Ter, Madison, WI, 53711",-89.489905,43.038073,Handgun,0,0,0,0,0,1,1,1,1,1,
"1400 Theresa Ter, Madison, WI, 53711",-89.489905,43.038073,Handgun,0,0,0,0,0,1,1,1,1,1,
"2400 Myrtle St, Madison, WI, 53704",-89.352384,43.110071,Rifle,0,0,0,0,0,1,1,1,1,1,
"1 S Baldwin St, Madison, WI, 53703",-89.366074,43.087302,Other Firearm,0,0,0,0,0,1,1,1,1,1,
"Spaight St, Madison, WI, 53703",-89.37032,43.077744,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,1,1,1,1,1,
"200 N Henry St, Madison, WI, 53703",-89.389093,43.074034,Rifle,0,0,0,0,0,1,1,1,1,1,
"800 Hughes Pl, Madison, WI, 53713",-89.39413,43.039898,Handgun,0,0,0,0,0,1,1,1,1,1,
"2200 E Washington Ave, Madison, WI, 53704",-89.354247,43.096208,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,1,1,1,1,1,
"800 Jana Ln, Madison, WI, 53704",-89.299291,43.108626,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,1,1,1,1,1,
"4400 Jay Dr, Madison, WI, 53704",-89.380554,43.14197,Firearm(Type not stated),0,0,0,0,0,0,1,1,1,1,
"3000 Darbo Dr, Madison, WI, 53714",-89.340837,43.103574,Handgun,0,0,0,0,0,0,1,1,1,1,
"3000 Darbo Dr, Madison, WI, 53714",-89.340837,43.103574,Handgun,0,0,0,0,0,0,1,1,1,1,
"700 S Gammon Rd, Madison, WI, 53719",-89.503289,43.04892,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,1,1,1,1,
"1100 Williamson St, Madison, WI, 53703",-89.366126,43.082059,Handgun,0,0,0,0,0,0,1,1,1,1,
"Zeier Rd, Madison, WI, 53704",-89.29944,43.121451,Handgun,0,0,0,0,0,0,1,1,1,1,
"7000 Tree Ln, Madison, WI, 53717",-89.502795,43.065616,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,1,1,1,1,
"7000 Tree Ln, Madison, WI, 53717",-89.502795,43.065616,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,1,1,1,1,
"1300 Loreen Dr, Madison, WI, 53711",-89.487458,43.03904,Handgun,0,0,0,0,0,0,1,1,1,1,
"1200 Macarthur Rd, Madison, WI, 53714",-89.319327,43.112423,Handgun,0,0,0,0,0,0,1,1,1,1,
